aiddata_id	donor	sector	title	short_description	long_description	aiddata_activity_code	codeRule_characterLength
19205209	Germany	I.1.b. Basic Education	GOVERNMENT CONTRIBUTIONS VIA NGO	GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01|15105.01 	67
97463492	United States	I.1.d. Post-Secondary Education	Higher Education	HIGHER EDUCATION	Strengthen institutional capacities of public and private higher education institutions (including research institutes, teacher-training colleges and institutes, universities, community colleges, and the relevant officials, departments, and ministries responsible for higher education) to teach, train, conduct research, and provide community service; to contribute to development; and to promote professional development opportunities, institutional linkages, and exchange programs. [through Governm	11420.04|11420.01|11420.07 	535
23017402	Japan	I.1.b. Basic Education		TC AGGREGATED ACTIVITIES		99810.01 	27
50049916	Spain	I.1.a. Education, Level Unspecified	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
50003188	Spain	I.1.b. Basic Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
19235826	Germany	I.1.b. Basic Education	GOVERNMENT CONTRIBUTIONS VIA NGO	GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01|15105.01 	67
50048316	Spain	I.1.a. Education, Level Unspecified	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
35164019	Austria	I.1.a. Education, Level Unspecified	Small-scale commitments aggregated by sector and recipient country	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT COUNTRY	Semiaggregierte Daten je Empf&auml;ngerland und DAC5-Sektor f&uuml;r Kleincommitments	99810.01 	220
23020288	Japan	I.1.b. Basic Education		TC AGGREGATED ACTIVITIES		99810.01 	27
23131829	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
17325855	Germany	I.1.b. Basic Education		GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01 	35
31089062	Austria	I.1.a. Education, Level Unspecified	Small-scale commitments aggregated by sector and recipient country	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT COUNTRY	Semiaggregierte Daten je Empf&auml;ngerland und DAC5-Sektor f&uuml;r Kleincommitments	99810.01 	220
23034015	Japan	I.1.d. Post-Secondary Education		TC AGGREGATED ACTIVITIES		99810.01 	27
23068585	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
38790094	Australia	I.1.a. Education, Level Unspecified	Cook Islands Harmonised Program: 2008-2012	COOK ISLANDS HARMONISED PROGRAM: 2008-2012	Allocation of up to A$7.8 million bilateral contribution over 2008-2012 for Cook Islands harmonised program. Allocation covers expenses: AusAID annual HLCs; ARDS to 2010; annual transfer to NZAID re implementation and mgmt fees.	51010.05 	315
27529901	Austria	I.1.a. Education, Level Unspecified	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
50054593	Spain	I.1.b. Basic Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
21300225	Denmark	I.1.b. Basic Education		DANISH TECHNICAL CO-OPERATION		15105.01 	32
19872277	Ireland	I.1.b. Basic Education		AGENCY FOR PERSONAL SERVICE OVERSEAS (APSO)		92020.01 	46
23052775	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
23030708	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
17573771	Norway	I.1.b. Basic Education	PEACE CORPS PERSONELL EXCHANGE	PEACE CORPS PERSONNEL EXCHANGE		15150.01 	63
19242377	Germany	I.1.c. Secondary Education	GOVERNMENT CONTRIBUTIONS VIA NGO	GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01|15105.01 	67
50049987	Spain	I.1.b. Basic Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
17340901	Germany	I.1.c. Secondary Education		GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01 	35
17697850	Norway	I.1.c. Secondary Education	PEACE CORPS PERSONELL EXCHANGE	PEACE CORPS PERSONNEL EXCHANGE		15150.01 	63
26742191	United Nations Children s Fund (UNICEF)	I.1.b. Basic Education	PROJECT SUPPORT	PROJECT SUPPORT		51010.05 	33
23620723	Austria	I.1.d. Post-Secondary Education	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
50118369	Spain	I.1.b. Basic Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
23129203	Japan	I.1.c. Secondary Education		TC AGGREGATED ACTIVITIES		99810.01 	27
50050886	Spain	I.1.a. Education, Level Unspecified	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
19478264	Norway	I.1.b. Basic Education	FREDSKORPSET PERSONELL EXCHANGE	EXCHANGE OF PERSONNEL BETWN PARTNERS IN NORWAY AND IN THE SOUTH	EXCHANGE OF PERSONNEL BETWN PARTNERS IN NORWAY AND IN THE SOUTH PARTICIPANTS WORK IN HOST COUNTRIES TOGETHER WITH THE HOST PARTNERS STAFF RESPONSIBILITY AND SPECIFIC TASKS WILL VARY IN RELATION TO THE OBJECTIVES ESTABL FOR THE PROJECT BY THE PARTNERS	99810.01 	347
